Gender,ms_at_diagnosis,ms_type_now,mean_age,sd_age,mean_age_at_diagnosis,sd_age_at_diagnosis,mean_age_at_msnow,sd_age_at_msnow
Female,PPMS,Benign,67.1,8.69,41.1,13.5,54.6,10.1
Female,PPMS,PPMS,66.9,9.91,48.1,10.0,53.9,10.0
Female,PPMS,RRMS,63.9,8.41,43,5,50.9,9.03
Female,PPMS,SPMS,70.7,7.47,43.8,9.96,58.6,7.33
Female,PPMS,Unknown,64.6,10.7,44.9,10.5,53.4,12.3
Female,RRMS,Benign,64.0,10.6,36.8,9.46,51.3,11.0
Female,RRMS,PPMS,63.8,9.94,36.8,9.72,51.6,10.3
Female,RRMS,RRMS,52.8,10.9,36.1,9.52,40.3,10.5
Female,RRMS,SPMS,63.1,8.95,36.8,9.51,52.1,8.96
Female,RRMS,Unknown,61.6,11.1,38.1,10.7,50.7,11.1
Female,SPMS,Benign,78,5.66,44,8.49,66,2.83
Female,SPMS,PPMS,71.1,8.50,42.6,6.35,58.5,8.71
Female,SPMS,RRMS,59.2,11.2,36.8,9.88,46.8,9.71
Female,SPMS,SPMS,68.7,8.90,46.6,9.99,55.0,9.87
Female,SPMS,Unknown,66.6,10.0,39.9,8.54,57.4,9.20
Female,Unknown,Benign,67.8,12.2,39.9,11.9,53.5,13.2
Female,Unknown,PPMS,63.8,14.8,45.2,10.4,51.4,14.2
Female,Unknown,RRMS,58.2,17.5,34.5,17.1,44.9,17.0
Female,Unknown,SPMS,68.5,9.01,38.4,10.4,56.3,9.74
Female,Unknown,Unknown,64.3,12.4,42.7,11.2,51.9,12.3
Male,PPMS,PPMS,67.0,10.3,48.2,10.2,53.9,10.5
Male,PPMS,RRMS,62,10.3,35.7,10.9,49.3,9.96
Male,PPMS,SPMS,66.2,10.5,37.4,7.03,53.7,10.1
Male,PPMS,Unknown,62.6,9.72,41.3,8.86,50.5,10.9
Male,RRMS,Benign,67.1,12.0,38.0,9.27,53.2,13.1
Male,RRMS,PPMS,64.9,7.19,40.1,6.18,52.5,7.42
Male,RRMS,RRMS,54.5,11.5,37.5,9.95,41.9,11.1
Male,RRMS,SPMS,63.0,9.99,37.4,9.42,51.4,9.59
Male,RRMS,Unknown,59.2,9.65,41.0,9.82,48.0,10.3
Male,SPMS,Benign,93,9,57,9,78,9
Male,SPMS,PPMS,71.9,6.50,45.3,7.84,59.1,6.11
Male,SPMS,SPMS,68.8,9.42,44.9,11.5,54.7,10.8
Male,SPMS,Unknown,70.7,8.80,44.7,7.28,57,9.60
Male,Unknown,Benign,71.4,11.4,42.5,10.5,56.5,11.5
Male,Unknown,PPMS,72.3,14.0,41.7,12.7,58,14.2
Male,Unknown,RRMS,60.8,6.26,39.4,7.02,46.8,6.26
Male,Unknown,SPMS,69.3,9.36,37.6,9.34,57.5,8.82
Male,Unknown,Unknown,61.9,15.4,41.6,12.0,49.5,15.4
PNTS,PPMS,PPMS,65,9.90,50.5,4.95,52.5,7.78
PNTS,RRMS,RRMS,38.5,5.92,29.2,8.02,28.8,7.63
PNTS,RRMS,SPMS,58.8,7.59,35.2,6.29,47.8,6.70
PNTS,SPMS,SPMS,63,9,50,9,50,9
